Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010801,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,20.4,14.8,27,,,"1,604","(32.3096172571, -90.2991097228)",PREVENT,COREM,2836000,28049010801,Core preventive services for older men
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000500,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,7.5,6.7,8.3,,,"6,041","(32.3607883236, -90.1824183353)",HLTHOUT,CHD,2836000,28049000500,Coronary Heart Disease
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001200,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,CrdPrv,Crude prevalence,49,44.4,53.7,,,"1,823","(32.341655318, -90.1880337023)",PREVENT,COLON_SCREEN,2836000,28049001200,Colorectal Cancer Screening
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011103,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,73.4,72.5,74.5,,,"1,171","(32.2289509142, -90.2151651714)",PREVENT,BPMED,2836000,28049011103,Taking BP Medication
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001300,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.9,2.7,3.1,,,"4,143","(32.3380096287, -90.1721630218)",HLTHOUT,KIDNEY,2836000,28049001300,Chronic Kidney Disease
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010202,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.5,3.8,5.3,,,"6,137","(32.3844840557, -90.1837056957)",HLTHOUT,STROKE,2836000,28049010202,Stroke
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003200,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,CrdPrv,Crude prevalence,49.7,46.2,52.8,,,"1,586","(32.2940043377, -90.2226483173)",PREVENT,COLON_SCREEN,2836000,28049003200,Colorectal Cancer Screening
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003300,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,20.9,17.4,24.4,,,"6,508","(32.2812612493, -90.2392578521)",PREVENT,COREW,2836000,28049003300,Core preventive services for older women
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049002400,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,25,19,32.3,,,"4,565","(32.3034428694, -90.2303837936)",PREVENT,COREM,2836000,28049002400,Core preventive services for older men
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011001,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,5,4.9,5.2,,,"5,718","(32.2820671233, -90.2675496365)",HLTHOUT,CANCER,2836000,28049011001,Cancer (except skin)
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003000,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,77,74.2,79.5,,,"2,104","(32.2795847495, -90.2022037077)",PREVENT,MAMMOUSE,2836000,28049003000,Mammography
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011101,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.9,4.8,5.1,,,"2,827","(32.2470923241, -90.2706288247)",HLTHOUT,CANCER,2836000,28049011101,Cancer (except skin)
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000400,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.8,12.1,13.4,,,"3,373","(32.3541845971, -90.1641486204)",HLTHOUT,DIABETES,2836000,28049000400,Diabetes
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001300,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.7,11.6,13.8,,,"4,143","(32.3380096287, -90.1721630218)",HLTHOUT,MHLTH,2836000,28049001300,Mental Health
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003000,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,Crude prevalence,71.7,71,72.3,,,"2,104","(32.2795847495, -90.2022037077)",PREVENT,CHECKUP,2836000,28049003000,Annual Checkup
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002500,Current asthma among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.4,11.6,13.2,,,"2,388","(32.308201226, -90.2084021164)",HLTHOUT,CASTHMA,2836000,28049002500,Current Asthma
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011400,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,79.7,77.3,81.9,,,"1,272","(32.3113779365, -90.1880062695)",PREVENT,CHOLSCREEN,2836000,28049011400,Cholesterol Screening
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049011500,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.9,13,15.1,,,"3,581","(32.2952059785, -90.2068443548)",UNHBEH,BINGE,2836000,28049011500,Binge Drinking
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011002,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,40.4,38.8,42,,,"4,390","(32.2610272446, -90.265130469)",HLTHOUT,BPHIGH,2836000,28049011002,High Blood Pressure
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049000400,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13,12.6,13.5,,,"3,373","(32.3541845971, -90.1641486204)",UNHBEH,BINGE,2836000,28049000400,Binge Drinking
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049002700,Visits to dentist or dental clinic among adults aged >=18 Years,%,CrdPrv,Crude prevalence,42,38.2,46.3,,,"1,377","(32.2960209234, -90.1767733078)",PREVENT,DENTAL,2836000,28049002700,Dental Visit
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010809,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,Crude prevalence,75.1,74.2,76.2,,,"2,093","(32.2562304412, -90.3139868721)",PREVENT,CHECKUP,2836000,28049010809,Annual Checkup
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010801,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,34,28.6,39.3,,,"1,604","(32.3096172571, -90.2991097228)",PREVENT,ACCESS2,2836000,28049010801,Health Insurance
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010203,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,CrdPrv,Crude prevalence,53.8,48.5,59,,,"2,892","(32.3777863053, -90.2193404986)",PREVENT,COLON_SCREEN,2836000,28049010203,Colorectal Cancer Screening
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011400,Visits to dentist or dental clinic among adults aged >=18 Years,%,CrdPrv,Crude prevalence,36.5,31.4,41.8,,,"1,272","(32.3113779365, -90.1880062695)",PREVENT,DENTAL,2836000,28049011400,Dental Visit
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002500,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.4,4.2,4.7,,,"2,388","(32.308201226, -90.2084021164)",HLTHOUT,KIDNEY,2836000,28049002500,Chronic Kidney Disease
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28121020207,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,,,,*,Estimates suppressed for population less than 50,1,"(32.2959128998, -90.0677891779)",UNHBEH,LPA,2836000,28121020207,Physical Inactivity
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000500,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,21.8,17.1,26.8,,,"6,041","(32.3607883236, -90.1824183353)",PREVENT,COREW,2836000,28049000500,Core preventive services for older women
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003400,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,22.3,21,23.6,,,"3,832","(32.2808856068, -90.2219754256)",HLTHOUT,ARTHRITIS,2836000,28049003400,Arthritis
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003000,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.9,4.8,5.1,,,"2,104","(32.2795847495, -90.2022037077)",HLTHOUT,CANCER,2836000,28049003000,Cancer (except skin)
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011102,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,CrdPrv,Crude prevalence,62.8,60.2,65.1,,,"5,056","(32.2251402127, -90.2603643583)",PREVENT,COLON_SCREEN,2836000,28049011102,Colorectal Cancer Screening
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011101,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,32,31,32.9,,,"2,827","(32.2470923241, -90.2706288247)",HLTHOUT,HIGHCHOL,2836000,28049011101,High Cholesterol
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010901,Papanicolaou smear use among adult women aged 21–65 Years,%,CrdPrv,Crude prevalence,88.3,86.1,90.2,,,"2,764","(32.3245803396, -90.2730968105)",PREVENT,PAPTEST,2836000,28049010901,Pap Smear Test
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049010901,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,42.4,40.5,44.1,,,"2,764","(32.3245803396, -90.2730968105)",UNHBEH,SLEEP,2836000,28049010901,Sleep <7 hours
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000100,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,23.1,21.9,24.5,,,"4,584","(32.3760966125, -90.1333490224)",HLTHOUT,ARTHRITIS,2836000,28049000100,Arthritis
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000900,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years",%,CrdPrv,Crude prevalence,52.1,47,56.9,,,"2,015","(32.3436482912, -90.2098240871)",PREVENT,COLON_SCREEN,2836000,28049000900,Colorectal Cancer Screening
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002700,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.2,7.6,8.9,,,"1,377","(32.2960209234, -90.1767733078)",HLTHOUT,CHD,2836000,28049002700,Coronary Heart Disease
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001300,Visits to dentist or dental clinic among adults aged >=18 Years,%,CrdPrv,Crude prevalence,66.6,63.6,69.4,,,"4,143","(32.3380096287, -90.1721630218)",PREVENT,DENTAL,2836000,28049001300,Dental Visit
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001600,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,33.1,32.2,34,,,"3,886","(32.3149024406, -90.1794376322)",HLTHOUT,BPHIGH,2836000,28049001600,High Blood Pressure
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010901,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,23.5,22.4,24.7,,,"2,764","(32.3245803396, -90.2730968105)",HLTHOUT,ARTHRITIS,2836000,28049010901,Arthritis
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000800,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,29.3,28,30.4,,,"4,483","(32.3401797646, -90.2268185213)",HLTHOUT,ARTHRITIS,2836000,28049000800,Arthritis
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001400,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.8,4,5.9,,,"3,076","(32.3400347421, -90.1387066293)",HLTHOUT,COPD,2836000,28049001400,COPD
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049002300,No leisure-time physical activity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,44.8,41.2,48.4,,,"2,518","(32.3146727051, -90.2454096274)",UNHBEH,LPA,2836000,28049002300,Physical Inactivity
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28089030105,Current smoking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.4,6.6,22.3,,,622,"(32.4055231258, -90.1578816308)",UNHBEH,CSMOKING,2836000,28089030105,Current Smoking
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011103,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.5,18.8,20.4,,,"1,171","(32.2289509142, -90.2151651714)",HLTHOUT,ARTHRITIS,2836000,28049011103,Arthritis
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000302,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.7,4,5.5,,,"4,050","(32.3700798374, -90.1547605542)",HLTHOUT,COPD,2836000,28049000302,COPD
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001200,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,41.4,30.7,51.9,,,"1,823","(32.341655318, -90.1880337023)",HLTHOUT,TEETHLOST,2836000,28049001200,Teeth Loss
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011500,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,30.7,29.4,31.9,,,"3,581","(32.2952059785, -90.2068443548)",HLTHOUT,BPHIGH,2836000,28049011500,High Blood Pressure
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000800,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,79.4,75.9,82.5,,,"4,483","(32.3401797646, -90.2268185213)",PREVENT,MAMMOUSE,2836000,28049000800,Mammography
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010203,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,36.2,34.9,37.6,,,"2,892","(32.3777863053, -90.2193404986)",HLTHOUT,HIGHCHOL,2836000,28049010203,High Cholesterol
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049000500,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,43.2,41.3,44.8,,,"6,041","(32.3607883236, -90.1824183353)",UNHBEH,SLEEP,2836000,28049000500,Sleep <7 hours
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001100,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,45.2,44.2,46.3,,,"1,827","(32.3294454095, -90.1955300324)",HLTHOUT,HIGHCHOL,2836000,28049001100,High Cholesterol
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28089030105,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,27.3,7.8,56.6,,,622,"(32.4055231258, -90.1578816308)",HLTHOUT,TEETHLOST,2836000,28089030105,Teeth Loss
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010102,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.2,10.8,13.7,,,"5,673","(32.3914073435, -90.1326233954)",HLTHOUT,MHLTH,2836000,28049010102,Mental Health
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000100,Stroke among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.8,2.4,3.2,,,"4,584","(32.3760966125, -90.1333490224)",HLTHOUT,STROKE,2836000,28049000100,Stroke
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001900,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,23.1,21.8,24.4,,,"1,950","(32.3199223985, -90.1980304796)",HLTHOUT,DIABETES,2836000,28049001900,Diabetes
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010202,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,47.1,45.2,49,,,"6,137","(32.3844840557, -90.1837056957)",HLTHOUT,BPHIGH,2836000,28049010202,High Blood Pressure
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010101,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,82.6,81.1,83.9,,,"6,121","(32.3885604745, -90.1001598448)",PREVENT,CHOLSCREEN,2836000,28049010101,Cholesterol Screening
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049002700,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,42.9,41.5,44.3,,,"1,377","(32.2960209234, -90.1767733078)",UNHBEH,SLEEP,2836000,28049002700,Sleep <7 hours
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011001,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4,3.8,4.3,,,"5,718","(32.2820671233, -90.2675496365)",HLTHOUT,KIDNEY,2836000,28049011001,Chronic Kidney Disease
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049010202,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.2,10.6,11.7,,,"6,137","(32.3844840557, -90.1837056957)",UNHBEH,BINGE,2836000,28049010202,Binge Drinking
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001000,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,17.1,13.2,21.4,,,"1,509","(32.3305746651, -90.2089575618)",PREVENT,COREW,2836000,28049001000,Core preventive services for older women
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003800,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.8,12.1,13.4,,,"3,019","(32.245231086, -90.2219378426)",HLTHOUT,DIABETES,2836000,28049003800,Diabetes
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049000500,Current smoking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,23.5,20.2,26.7,,,"6,041","(32.3607883236, -90.1824183353)",UNHBEH,CSMOKING,2836000,28049000500,Current Smoking
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000200,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,86,84.9,86.9,,,"5,395","(32.3604779334, -90.1295873326)",PREVENT,CHOLSCREEN,2836000,28049000200,Cholesterol Screening
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010203,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,81.7,80.6,82.9,,,"2,892","(32.3777863053, -90.2193404986)",PREVENT,BPMED,2836000,28049010203,Taking BP Medication
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000301,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.5,16.2,20.8,,,"2,637","(32.3665228128, -90.1634025553)",HLTHOUT,MHLTH,2836000,28049000301,Mental Health
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011002,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6.1,5.4,6.9,,,"4,390","(32.2610272446, -90.265130469)",HLTHOUT,COPD,2836000,28049011002,COPD
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001900,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,83.6,82.8,84.3,,,"1,950","(32.3199223985, -90.1980304796)",PREVENT,BPMED,2836000,28049001900,Taking BP Medication
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049002000,Visits to dentist or dental clinic among adults aged >=18 Years,%,CrdPrv,Crude prevalence,39,35.5,43.1,,,"1,047","(32.3197192007, -90.2062608176)",PREVENT,DENTAL,2836000,28049002000,Dental Visit
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003000,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20.1,18.8,21.5,,,"2,104","(32.2795847495, -90.2022037077)",HLTHOUT,PHLTH,2836000,28049003000,Physical Health
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28089030105,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,Crude prevalence,73.2,69.6,76.5,,,622,"(32.4055231258, -90.1578816308)",PREVENT,CHECKUP,2836000,28089030105,Annual Checkup
2017,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011103,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.3,8.7,9.8,,,"1,171","(32.2289509142, -90.2151651714)",HLTHOUT,DIABETES,2836000,28049011103,Diabetes
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000200,Visits to dentist or dental clinic among adults aged >=18 Years,%,CrdPrv,Crude prevalence,75.7,72.6,78.3,,,"5,395","(32.3604779334, -90.1295873326)",PREVENT,DENTAL,2836000,28049000200,Dental Visit
2016,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000302,Visits to dentist or dental clinic among adults aged >=18 Years,%,CrdPrv,Crude prevalence,56.2,51.2,61.3,,,"4,050","(32.3700798374, -90.1547605542)",PREVENT,DENTAL,2836000,28049000302,Dental Visit
