Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Population2010,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049001900,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,48.8,,,47.4,50.2,"1,950","(32.3199223985, -90.1980304796)",UNHBEH,OBESITY,2836000,28049001900,Obesity
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003800,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening",%,CrdPrv,Crude prevalence,33.7,,,27.7,39.7,"3,019","(32.245231086, -90.2219378426)",PREVENT,COREM,2836000,28049003800,Core preventive services for older men
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002500,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.8,,,15.2,18.5,"2,388","(32.308201226, -90.2084021164)",HLTHOUT,MHLTH,2836000,28049002500,Mental Health
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000400,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.1,,,2.9,3.3,"3,373","(32.3541845971, -90.1641486204)",HLTHOUT,KIDNEY,2836000,28049000400,Chronic Kidney Disease
2013,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003800,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,76.5,,,75.3,77.8,"3,019","(32.245231086, -90.2219378426)",PREVENT,BPMED,2836000,28049003800,Taking BP Medication
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049002000,Visits to dentist or dental clinic among adults aged >=18 Years,%,CrdPrv,Crude prevalence,32.2,,,28.9,35.7,"1,047","(32.3197192007, -90.2062608176)",PREVENT,DENTAL,2836000,28049002000,Dental Visit
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002700,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.5,,,15.1,18.1,"1,377","(32.2960209234, -90.1767733078)",HLTHOUT,MHLTH,2836000,28049002700,Mental Health
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003300,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.2,,,14.3,18.2,"6,508","(32.2812612493, -90.2392578521)",HLTHOUT,PHLTH,2836000,28049003300,Physical Health
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010203,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,5,,,4.7,5.4,"2,892","(32.3777863053, -90.2193404986)",HLTHOUT,CANCER,2836000,28049010203,Cancer (except skin)
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003600,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.8,,,2.6,3.1,"3,952","(32.2631259622, -90.2457588861)",HLTHOUT,KIDNEY,2836000,28049003600,Chronic Kidney Disease
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002400,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,28.9,,,19.5,39.2,"4,565","(32.3034428694, -90.2303837936)",HLTHOUT,TEETHLOST,2836000,28049002400,Teeth Loss
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049000200,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.1,,,14.5,15.6,"5,395","(32.3604779334, -90.1295873326)",UNHBEH,BINGE,2836000,28049000200,Binge Drinking
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049011103,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,33.2,,,31.5,34.6,"1,171","(32.2289509142, -90.2151651714)",UNHBEH,OBESITY,2836000,28049011103,Obesity
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011500,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.5,,,2.3,2.8,"3,581","(32.2952059785, -90.2068443548)",HLTHOUT,KIDNEY,2836000,28049011500,Chronic Kidney Disease
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001900,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,70.6,,,66.2,74.7,"1,950","(32.3199223985, -90.1980304796)",PREVENT,MAMMOUSE,2836000,28049001900,Mammography
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000500,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,16.7,,,14.7,18.7,"6,041","(32.3607883236, -90.1824183353)",HLTHOUT,PHLTH,2836000,28049000500,Physical Health
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049000301,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,45.3,,,43.1,47.2,"2,637","(32.3665228128, -90.1634025553)",UNHBEH,OBESITY,2836000,28049000301,Obesity
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010201,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.7,,,13.1,16.5,"3,250","(32.3857261753, -90.161721287)",HLTHOUT,MHLTH,2836000,28049010201,Mental Health
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000600,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,31.8,,,20.5,43,"3,442","(32.3500168004, -90.2038372112)",HLTHOUT,TEETHLOST,2836000,28049000600,Teeth Loss
2014,MS,Mississippi,Jackson,City,BRFSS,Unhealthy Behaviors,2836000,Binge drinking among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12,,,11.9,12.1,"173,514","(32.31627222, -90.2124528561)",UNHBEH,BINGE,2836000,,Binge Drinking
2013,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011500,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,64,,,62.2,65.9,"3,581","(32.2952059785, -90.2068443548)",PREVENT,BPMED,2836000,28049011500,Taking BP Medication
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003200,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,23.7,,,22.7,24.6,"1,586","(32.2940043377, -90.2226483173)",HLTHOUT,ARTHRITIS,2836000,28049003200,Arthritis
2013,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010809,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,76.3,,,73.6,78.8,"2,093","(32.2562304412, -90.3139868721)",PREVENT,CHOLSCREEN,2836000,28049010809,Cholesterol Screening
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010500,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6.8,,,6,7.6,77,"(32.3891051587, -90.2686162692)",HLTHOUT,CHD,2836000,28049010500,Coronary Heart Disease
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049003400,Sleeping less than 7 hours among adults aged >=18 Years,%,CrdPrv,Crude prevalence,48.5,,,46.3,50.4,"3,832","(32.2808856068, -90.2219754256)",UNHBEH,SLEEP,2836000,28049003400,Sleep <7 hours
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001500,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.5,,,7.3,9.9,"3,264","(32.3195456692, -90.1687404216)",HLTHOUT,MHLTH,2836000,28049001500,Mental Health
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001100,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,39.8,,,30.6,48.6,"1,827","(32.3294454095, -90.1955300324)",HLTHOUT,TEETHLOST,2836000,28049001100,Teeth Loss
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049011101,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,39.1,,,37.3,40.8,"2,827","(32.2470923241, -90.2706288247)",UNHBEH,OBESITY,2836000,28049011101,Obesity
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010301,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6,,,5.6,6.4,"3,284","(32.3659087039, -90.261172434)",HLTHOUT,CANCER,2836000,28049010301,Cancer (except skin)
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003200,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.3,,,11.9,15.1,"1,586","(32.2940043377, -90.2226483173)",HLTHOUT,PHLTH,2836000,28049003200,Physical Health
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003800,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",%,CrdPrv,Crude prevalence,26.5,,,22.4,31.1,"3,019","(32.245231086, -90.2219378426)",PREVENT,COREW,2836000,28049003800,Core preventive services for older women
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010201,Arthritis among adults aged >=18 Years,%,CrdPrv,Crude prevalence,25.9,,,24.8,27.1,"3,250","(32.3857261753, -90.161721287)",HLTHOUT,ARTHRITIS,2836000,28049010201,Arthritis
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001200,Current asthma among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.2,,,10.3,12.2,"1,823","(32.341655318, -90.1880337023)",HLTHOUT,CASTHMA,2836000,28049001200,Current Asthma
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Unhealthy Behaviors,2836000-28049003500,Obesity among adults aged >=18 Years,%,CrdPrv,Crude prevalence,43.7,,,41.8,45.5,"3,931","(32.2626920049, -90.2228454457)",UNHBEH,OBESITY,2836000,28049003500,Obesity
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001000,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,Crude prevalence,22.8,,,21.2,24.3,"1,509","(32.3305746651, -90.2089575618)",HLTHOUT,DIABETES,2836000,28049001000,Diabetes
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011001,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.8,,,4.6,5.1,"5,718","(32.2820671233, -90.2675496365)",HLTHOUT,CANCER,2836000,28049011001,Cancer (except skin)
2014,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003800,Mammography use among women aged 50–74 Years,%,CrdPrv,Crude prevalence,68.4,,,64.6,72,"3,019","(32.245231086, -90.2219378426)",PREVENT,MAMMOUSE,2836000,28049003800,Mammography
2013,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010801,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,65.1,,,61.8,68.4,"1,604","(32.3096172571, -90.2991097228)",PREVENT,CHOLSCREEN,2836000,28049010801,Cholesterol Screening
