StateAbbr,Year,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,Geolocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010101,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,75.4,73.3,77.2,,,"6,121",POINT (-90.1001598448 32.3885604745),PREVENT,CHOLSCREEN,2836000,28049010101,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010809,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,29.7,28.4,31.1,,,"2,093",POINT (-90.3139868721 32.2562304412),HLTHOUT,HIGHCHOL,2836000,28049010809,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000500,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,74.4,71.8,76.7,,,"6,041",POINT (-90.1824183353 32.3607883236),PREVENT,CHOLSCREEN,2836000,28049000500,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010901,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,79,77.8,80.2,,,"2,764",POINT (-90.2730968105 32.3245803396),PREVENT,BPMED,2836000,28049010901,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010203,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,36.9,35.3,38.5,,,"2,892",POINT (-90.2193404986 32.3777863053),HLTHOUT,HIGHCHOL,2836000,28049010203,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001400,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,86.1,84.7,87.2,,,"3,076",POINT (-90.1387066293 32.3400347421),PREVENT,CHOLSCREEN,2836000,28049001400,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28089030105,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,12,10.1,14.6,,,622,POINT (-90.1578816308 32.4055231258),HLTHOUT,HIGHCHOL,2836000,28089030105,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000900,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,85.3,84.3,86.3,,,"2,015",POINT (-90.2098240871 32.3436482912),PREVENT,BPMED,2836000,28049000900,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003600,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,32.4,31.1,33.8,,,"3,952",POINT (-90.2457588861 32.2631259622),HLTHOUT,HIGHCHOL,2836000,28049003600,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010801,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,78.7,77.4,80.1,,,"1,604",POINT (-90.2991097228 32.3096172571),PREVENT,BPMED,2836000,28049010801,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010102,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,38.3,36.8,39.9,,,"5,673",POINT (-90.1326233954 32.3914073435),HLTHOUT,BPHIGH,2836000,28049010102,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010203,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,50.3,48.5,52.1,,,"2,892",POINT (-90.2193404986 32.3777863053),HLTHOUT,BPHIGH,2836000,28049010203,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011101,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,31.8,30.7,33.2,,,"2,827",POINT (-90.2706288247 32.2470923241),HLTHOUT,HIGHCHOL,2836000,28049011101,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28089030105,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.3,13.7,20.6,,,622,POINT (-90.1578816308 32.4055231258),HLTHOUT,BPHIGH,2836000,28089030105,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010500,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,80.9,79.7,82.1,,,77,POINT (-90.2686162692 32.3891051587),PREVENT,BPMED,2836000,28049010500,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001000,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,85.1,84.1,86,,,"1,509",POINT (-90.2089575618 32.3305746651),PREVENT,BPMED,2836000,28049001000,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010902,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,40.8,39.3,42.3,,,"1,819",POINT (-90.2663131694 32.3020333386),HLTHOUT,HIGHCHOL,2836000,28049010902,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011101,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,40.9,39.4,42.6,,,"2,827",POINT (-90.2706288247 32.2470923241),HLTHOUT,BPHIGH,2836000,28049011101,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011500,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,51.1,47.2,54.4,,,"3,581",POINT (-90.2068443548 32.2952059785),PREVENT,CHOLSCREEN,2836000,28049011500,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011103,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,34.3,33.1,35.4,,,"1,171",POINT (-90.2151651714 32.2289509142),HLTHOUT,BPHIGH,2836000,28049011103,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003300,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,33.2,31.5,34.9,,,"6,508",POINT (-90.2392578521 32.2812612493),HLTHOUT,HIGHCHOL,2836000,28049003300,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28089030105,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,40.5,36.5,44.9,,,622,POINT (-90.1578816308 32.4055231258),PREVENT,BPMED,2836000,28089030105,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010801,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,61.9,58.7,65.1,,,"1,604",POINT (-90.2991097228 32.3096172571),PREVENT,CHOLSCREEN,2836000,28049010801,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003700,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,34.4,33,35.8,,,"2,926",POINT (-90.2349934614 32.2505825226),HLTHOUT,HIGHCHOL,2836000,28049003700,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011400,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,82.9,81.7,84.1,,,"1,272",POINT (-90.1880062695 32.3113779365),PREVENT,BPMED,2836000,28049011400,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000200,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,81.5,80,82.9,,,"5,395",POINT (-90.1295873326 32.3604779334),PREVENT,CHOLSCREEN,2836000,28049000200,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049002100,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,81,79.8,82.3,,,"3,257",POINT (-90.2240153221 32.3151937739),PREVENT,BPMED,2836000,28049002100,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000100,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,82.4,81,83.7,,,"4,584",POINT (-90.1333490224 32.3760966125),PREVENT,CHOLSCREEN,2836000,28049000100,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010902,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,53.6,52.3,55,,,"1,819",POINT (-90.2663131694 32.3020333386),HLTHOUT,BPHIGH,2836000,28049010902,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001500,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,72.9,71.4,74.2,,,"3,264",POINT (-90.1687404216 32.3195456692),PREVENT,BPMED,2836000,28049001500,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001300,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,36,35.1,37,,,"4,143",POINT (-90.1721630218 32.3380096287),HLTHOUT,BPHIGH,2836000,28049001300,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002400,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,49.7,47.8,51.5,,,"4,565",POINT (-90.2303837936 32.3034428694),HLTHOUT,BPHIGH,2836000,28049002400,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001500,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,27.6,26.6,28.7,,,"3,264",POINT (-90.1687404216 32.3195456692),HLTHOUT,HIGHCHOL,2836000,28049001500,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010902,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,82.6,81.6,83.7,,,"1,819",POINT (-90.2663131694 32.3020333386),PREVENT,BPMED,2836000,28049010902,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003200,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,43.2,41.7,44.7,,,"1,586",POINT (-90.2226483173 32.2940043377),HLTHOUT,BPHIGH,2836000,28049003200,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011102,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,79.3,78.5,80.1,,,"5,056",POINT (-90.2603643583 32.2251402127),PREVENT,BPMED,2836000,28049011102,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011103,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,29.8,28.9,30.8,,,"1,171",POINT (-90.2151651714 32.2289509142),HLTHOUT,HIGHCHOL,2836000,28049011103,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001200,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,40.7,39,42.3,,,"1,823",POINT (-90.1880337023 32.341655318),HLTHOUT,HIGHCHOL,2836000,28049001200,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002000,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,42.6,41.3,44.1,,,"1,047",POINT (-90.2062608176 32.3197192007),HLTHOUT,HIGHCHOL,2836000,28049002000,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000500,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,38,36.5,39.5,,,"6,041",POINT (-90.1824183353 32.3607883236),HLTHOUT,HIGHCHOL,2836000,28049000500,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003400,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,35.1,33.2,37,,,"3,832",POINT (-90.2219754256 32.2808856068),HLTHOUT,HIGHCHOL,2836000,28049003400,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003800,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,33.3,32,34.7,,,"3,019",POINT (-90.2219378426 32.245231086),HLTHOUT,HIGHCHOL,2836000,28049003800,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001200,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,55.6,54,57,,,"1,823",POINT (-90.1880337023 32.341655318),HLTHOUT,BPHIGH,2836000,28049001200,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000200,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,79.3,78.4,80.3,,,"5,395",POINT (-90.1295873326 32.3604779334),PREVENT,BPMED,2836000,28049000200,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010201,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,78.3,77.1,79.6,,,"3,250",POINT (-90.161721287 32.3857261753),PREVENT,BPMED,2836000,28049010201,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001100,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,87,86.3,87.6,,,"1,827",POINT (-90.1955300324 32.3294454095),PREVENT,BPMED,2836000,28049001100,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000400,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,76.3,74.8,77.7,,,"3,373",POINT (-90.1641486204 32.3541845971),PREVENT,CHOLSCREEN,2836000,28049000400,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011002,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,30.9,29.8,32.2,,,"4,390",POINT (-90.265130469 32.2610272446),HLTHOUT,HIGHCHOL,2836000,28049011002,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003600,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,76,74.6,77.3,,,"3,952",POINT (-90.2457588861 32.2631259622),PREVENT,BPMED,2836000,28049003600,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001600,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,73.3,72.1,74.3,,,"3,886",POINT (-90.1794376322 32.3149024406),PREVENT,BPMED,2836000,28049001600,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003800,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,74.5,73.2,75.8,,,"3,019",POINT (-90.2219378426 32.245231086),PREVENT,BPMED,2836000,28049003800,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049001100,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,46.1,44.7,47.5,,,"1,827",POINT (-90.1955300324 32.3294454095),HLTHOUT,HIGHCHOL,2836000,28049001100,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000800,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,81.9,80.9,82.8,,,"4,483",POINT (-90.2268185213 32.3401797646),PREVENT,BPMED,2836000,28049000800,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049002500,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,69.3,66.9,71.8,,,"2,388",POINT (-90.2084021164 32.308201226),PREVENT,CHOLSCREEN,2836000,28049002500,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010101,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,77.1,76,78.2,,,"6,121",POINT (-90.1001598448 32.3885604745),PREVENT,BPMED,2836000,28049010101,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011001,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,77.6,76.4,78.7,,,"5,718",POINT (-90.2675496365 32.2820671233),PREVENT,BPMED,2836000,28049011001,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049002100,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,68.9,66,71.9,,,"3,257",POINT (-90.2240153221 32.3151937739),PREVENT,CHOLSCREEN,2836000,28049002100,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000301,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,63,59,66.6,,,"2,637",POINT (-90.1634025553 32.3665228128),PREVENT,CHOLSCREEN,2836000,28049000301,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000302,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,75.1,73.6,76.6,,,"4,050",POINT (-90.1547605542 32.3700798374),PREVENT,BPMED,2836000,28049000302,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003500,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,31.2,29.6,32.8,,,"3,931",POINT (-90.2228454457 32.2626920049),HLTHOUT,HIGHCHOL,2836000,28049003500,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049002300,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,48.2,46.4,50,,,"2,518",POINT (-90.2454096274 32.3146727051),HLTHOUT,BPHIGH,2836000,28049002300,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001200,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,69.5,66.9,72.1,,,"1,823",POINT (-90.1880337023 32.341655318),PREVENT,CHOLSCREEN,2836000,28049001200,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003500,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,40.7,38.9,42.3,,,"3,931",POINT (-90.2228454457 32.2626920049),HLTHOUT,BPHIGH,2836000,28049003500,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049011103,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,74.8,72.5,77,,,"1,171",POINT (-90.2151651714 32.2289509142),PREVENT,CHOLSCREEN,2836000,28049011103,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049000700,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,46.3,44.5,48,,,"5,710",POINT (-90.2571613241 32.3422170976),HLTHOUT,BPHIGH,2836000,28049000700,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011002,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,41.4,39.9,42.8,,,"4,390",POINT (-90.265130469 32.2610272446),HLTHOUT,BPHIGH,2836000,28049011002,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049010201,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,Crude prevalence,69.7,66.7,72.6,,,"3,250",POINT (-90.161721287 32.3857261753),PREVENT,CHOLSCREEN,2836000,28049010201,Cholesterol Screening
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000700,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,79.2,77.8,80.5,,,"5,710",POINT (-90.2571613241 32.3422170976),PREVENT,BPMED,2836000,28049000700,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049003000,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,49.3,48.4,50.3,,,"2,104",POINT (-90.2022037077 32.2795847495),HLTHOUT,BPHIGH,2836000,28049003000,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049003200,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,76.9,75.3,78.4,,,"1,586",POINT (-90.2226483173 32.2940043377),PREVENT,BPMED,2836000,28049003200,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001300,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,Crude prevalence,78.5,77.8,79.3,,,"4,143",POINT (-90.1721630218 32.3380096287),PREVENT,BPMED,2836000,28049001300,Taking BP Medication
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049011102,High blood pressure among adults aged >=18 Years,%,CrdPrv,Crude prevalence,40.9,39.9,42,,,"5,056",POINT (-90.2603643583 32.2251402127),HLTHOUT,BPHIGH,2836000,28049011102,High Blood Pressure
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010201,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,33,31.7,34.4,,,"3,250",POINT (-90.161721287 32.3857261753),HLTHOUT,HIGHCHOL,2836000,28049010201,High Cholesterol
MS,2015,Mississippi,Jackson,Census Tract,BRFSS,Health Outcomes,2836000-28049010500,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,Crude prevalence,36.9,35.2,38.6,,,77,POINT (-90.2686162692 32.3891051587),HLTHOUT,HIGHCHOL,2836000,28049010500,High Cholesterol
